pygame 2.6.1 (SDL 2.28.4, Python 3.13.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
Ip $800d, A $8000, D $0010 | Loop $03f7, Indi $4009   |   (0x10 +)
Ip $800e, A $8400, D $0010 | Loop $03f7, Indi $4009   |   (0x4 +)
Ip $800f, A $4400, D $0010 | Loop $03f7, Indi $4009   |   (*0x2 > D)
Ip $8010, A $4400, D $00a6 | Loop $03f7, Indi $4009   |   (D > *0x4)
Ip $8011, A $4400, D $00a6 | Loop $03f7, Indi $4009   |   (0x2 +)
Ip $8012, A $4080, D $00a6 | Loop $03f7, Indi $4009   |   (0xc > D)
Ip $8013, A $4080, D $008c | Loop $03f7, Indi $4009   |   (D > *0x7)
HDHDHDHDHDHDHDHDHD
Ip $8014, A $4080, D $008c | Loop $03f6, Indi $400a   |   (0x3 > D)
Ip $8015, A $4080, D $0003 | Loop $03f6, Indi $400a   |   (D > *0x7)
Ip $8016, A $4080, D $0003 | Loop $03f6, Indi $400a   |   (0x0 +)
Ip $8017, A $4000, D $0003 | Loop $03f6, Indi $400a   |   (0x8 +)
Ip $8018, A $8000, D $0003 | Loop $03f6, Indi $400a   |   (0x1e > D)
Ip $8019, A $8000, D $801e | Loop $03f6, Indi $400a   |   (D > *0x0)
Ip $801a, A $8000, D $801e | Loop $03f6, Indi $400a   |   (0x1 > D)
Ip $801b, A $8000, D $0001 | Loop $03f6, Indi $400a   |   (D > *0x7)
Ip $801c, A $8000, D $0001 | Loop $03f6, Indi $400a   |   (0x0 +)
Ip $801d, A $8000, D $0001 | Loop $03f6, Indi $400a   |   (0x8 +)
Ip $801e, A $8000, D $0001 | Loop $03f6, Indi $400a   |   (0xb > D)
Ip $801f, A $8000, D $800b | Loop $03f6, Indi $400a   |   (D > *0x0)
Ip $800b, A $8000, D $800b | Loop $03f6, Indi $400a   |   (0x10 > D)
Ip $800c, A $8000, D $0010 | Loop $03f6, Indi $400a   |   (D > *0x7)
Ip $800d, A $8000, D $0010 | Loop $03f6, Indi $400a   |   (0x10 +)
Ip $800e, A $8400, D $0010 | Loop $03f6, Indi $400a   |   (0x4 +)
Ip $800f, A $4400, D $0010 | Loop $03f6, Indi $400a   |   (*0x2 > D)
Ip $8010, A $4400, D $00bb | Loop $03f6, Indi $400a   |   (D > *0x4)
Ip $8011, A $4400, D $00bb | Loop $03f6, Indi $400a   |   (0x2 +)
Ip $8012, A $4080, D $00bb | Loop $03f6, Indi $400a   |   (0xc > D)
Ip $8013, A $4080, D $008c | Loop $03f6, Indi $400a   |   (D > *0x7)
HDHDHDHDHDHDHDHDHD
Ip $8014, A $4080, D $008c | Loop $03f5, Indi $400b   |   (0x3 > D)
Ip $8015, A $4080, D $0003 | Loop $03f5, Indi $400b   |   (D > *0x7)
Ip $8016, A $4080, D $0003 | Loop $03f5, Indi $400b   |   (0x0 +)
Ip $8017, A $4000, D $0003 | Loop $03f5, Indi $400b   |   (0x8 +)
Ip $8018, A $8000, D $0003 | Loop $03f5, Indi $400b   |   (0x1e > D)
Ip $8019, A $8000, D $801e | Loop $03f5, Indi $400b   |   (D > *0x0)
Ip $801a, A $8000, D $801e | Loop $03f5, Indi $400b   |   (0x1 > D)
Ip $801b, A $8000, D $0001 | Loop $03f5, Indi $400b   |   (D > *0x7)
Ip $801c, A $8000, D $0001 | Loop $03f5, Indi $400b   |   (0x0 +)
Ip $801d, A $8000, D $0001 | Loop $03f5, Indi $400b   |   (0x8 +)
Ip $801e, A $8000, D $0001 | Loop $03f5, Indi $400b   |   (0xb > D)
Ip $801f, A $8000, D $800b | Loop $03f5, Indi $400b   |   (D > *0x0)
Ip $800b, A $8000, D $800b | Loop $03f5, Indi $400b   |   (0x10 > D)
Ip $800c, A $8000, D $0010 | Loop $03f5, Indi $400b   |   (D > *0x7)
Ip $800d, A $8000, D $0010 | Loop $03f5, Indi $400b   |   (0x10 +)
Ip $800e, A $8400, D $0010 | Loop $03f5, Indi $400b   |   (0x4 +)
Ip $800f, A $4400, D $0010 | Loop $03f5, Indi $400b   |   (*0x2 > D)
Ip $8010, A $4400, D $00c0 | Loop $03f5, Indi $400b   |   (D > *0x4)
Ip $8011, A $4400, D $00c0 | Loop $03f5, Indi $400b   |   (0x2 +)
Ip $8012, A $4080, D $00c0 | Loop $03f5, Indi $400b   |   (0xc > D)
Ip $8013, A $4080, D $008c | Loop $03f5, Indi $400b   |   (D > *0x7)
HDHDHDHDHDHDHDHDHD
